sentence_id	category	sentence	sentiment	ner_tags
1004293:0	restaurant general	Judging from previous posts this used to be a good place , but not any longer .	negative	O O O O O O O O O O T O O O O O O
1004293:0	service general	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	food quality	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	food style_options	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	drinks style_options	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	drinks prices	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	restaurant prices	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	restaurant miscellaneous	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	ambience general	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	food prices	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	location general	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:0	drinks quality	Judging from previous posts this used to be a good place , but not any longer .	N/A	O O O O O O O O O O O O O O O O O
1004293:1	restaurant general	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	service general	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	negative	O O O O O O O O O O O O O O O O O O O T O O O O O O O O O O O O O
1004293:1	food quality	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	food style_options	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	drinks style_options	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	drinks prices	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	restaurant prices	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	restaurant miscellaneous	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	ambience general	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	food prices	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	location general	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:1	drinks quality	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	N/A	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1004293:2	restaurant general	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	service general	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	negative	O O O O O O O O O O O O O O O O O O O O O
1004293:2	food quality	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	food style_options	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	drinks style_options	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	drinks prices	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	restaurant prices	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	restaurant miscellaneous	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	ambience general	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	food prices	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	location general	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:2	drinks quality	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	N/A	O O O O O O O O O O O O O O O O O O O O O
1004293:3	restaurant general	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	service general	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	food quality	The food was lousy - too sweet or too salty and the portions tiny .	negative	O T O O O O O O O O O O O O O
1004293:3	food style_options	The food was lousy - too sweet or too salty and the portions tiny .	negative	O O O O O O O O O O O O T O O
1004293:3	drinks style_options	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	drinks prices	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	restaurant prices	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	restaurant miscellaneous	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	ambience general	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	food prices	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	location general	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:3	drinks quality	The food was lousy - too sweet or too salty and the portions tiny .	N/A	O O O O O O O O O O O O O O O
1004293:4	restaurant general	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	service general	After all that , they complained to me about the small tip .	negative	O O O O O O O O O O O O O
1004293:4	food quality	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	food style_options	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	drinks style_options	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	drinks prices	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	restaurant prices	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	restaurant miscellaneous	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	ambience general	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	food prices	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	location general	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:4	drinks quality	After all that , they complained to me about the small tip .	N/A	O O O O O O O O O O O O O
1004293:5	restaurant general	Avoid this place !	negative	O O T O
1004293:5	service general	Avoid this place !	N/A	O O O O
1004293:5	food quality	Avoid this place !	N/A	O O O O
1004293:5	food style_options	Avoid this place !	N/A	O O O O
1004293:5	drinks style_options	Avoid this place !	N/A	O O O O
1004293:5	drinks prices	Avoid this place !	N/A	O O O O
1004293:5	restaurant prices	Avoid this place !	N/A	O O O O
1004293:5	restaurant miscellaneous	Avoid this place !	N/A	O O O O
1004293:5	ambience general	Avoid this place !	N/A	O O O O
1004293:5	food prices	Avoid this place !	N/A	O O O O
1004293:5	location general	Avoid this place !	N/A	O O O O
1004293:5	drinks quality	Avoid this place !	N/A	O O O O
1014458:0	restaurant general	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	service general	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	food quality	I have eaten at Saul , many times , the food is always consistently , outrageously good .	positive	O O O O O O O O O O T O O O O O O O
1014458:0	food style_options	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	drinks style_options	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	drinks prices	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	restaurant prices	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	restaurant miscellaneous	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	ambience general	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	food prices	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	location general	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:0	drinks quality	I have eaten at Saul , many times , the food is always consistently , outrageously good .	N/A	O O O O O O O O O O O O O O O O O O
1014458:1	restaurant general	Saul is the best restaurant on Smith Street and in Brooklyn .	positive	T O O O O O O O O O O O
1014458:1	service general	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	food quality	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	food style_options	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	drinks style_options	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	drinks prices	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	restaurant prices	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	restaurant miscellaneous	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	ambience general	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	food prices	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	location general	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:1	drinks quality	Saul is the best restaurant on Smith Street and in Brooklyn .	N/A	O O O O O O O O O O O O
1014458:2	restaurant general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	service general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	food quality	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	positive	O T T O O O O O T T T T T O O O O O O
1014458:2	food style_options	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	drinks style_options	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	drinks prices	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	restaurant prices	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	restaurant miscellaneous	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	ambience general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	food prices	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	location general	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:2	drinks quality	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	N/A	O O O O O O O O O O O O O O O O O O O
1014458:3	restaurant general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
1014458:3	service general	The wine list is interesting and has many good values .	N/A	O O O O O O O O O O O
